No,Filename
155,WADMKC_Cigombong_polygon_0
156,WADMKC_Cigudeg_polygon_0
157,WADMKC_Cigugur_polygon_0
158,WADMKC_Cigugur_polygon_1
159,WADMKC_Cihampelas_polygon_0
160,WADMKC_Cihaurbeuti_polygon_0
161,WADMKC_Cihideung_polygon_0
162,WADMKC_Cihurip_polygon_0
163,WADMKC_Cijambe_polygon_0
164,WADMKC_Cijati_polygon_0
165,WADMKC_Cijeruk_polygon_0
166,WADMKC_Cijeungjing_polygon_0
167,WADMKC_Cijulang_polygon_0
168,WADMKC_Cijulang_polygon_1
169,WADMKC_Cijulang_polygon_2
170,WADMKC_Cikadu_polygon_0
171,WADMKC_Cikajang_polygon_0
172,WADMKC_Cikakak_polygon_0
173,WADMKC_Cikalong_polygon_0
174,WADMKC_Cikalong_polygon_1
175,WADMKC_Cikalong_polygon_2
176,WADMKC_Cikalong_polygon_3
177,WADMKC_Cikalong_polygon_4
178,WADMKC_Cikalongkulon_polygon_0
179,WADMKC_Cikalongwetan_polygon_0
180,WADMKC_Cikampek_polygon_0
181,WADMKC_Cikancung_polygon_0
182,WADMKC_Cikarang Barat_polygon_0
183,WADMKC_Cikarang Pusat_polygon_0
184,WADMKC_Cikarang Selatan_polygon_0
185,WADMKC_Cikarang Timur_polygon_0
186,WADMKC_Cikarang Utara_polygon_0
187,WADMKC_Cikatomas_polygon_0
188,WADMKC_Cikaum_polygon_0
189,WADMKC_Cikedung_polygon_0
190,WADMKC_Cikelet_polygon_0
191,WADMKC_Cikembar_polygon_0
192,WADMKC_Cikidang_polygon_0
193,WADMKC_Cikijing_polygon_0
194,WADMKC_Cikole_polygon_0
195,WADMKC_Cikoneng_polygon_0
196,WADMKC_Cilaku_polygon_0
197,WADMKC_Cilamaya Kulon_polygon_0
198,WADMKC_Cilamaya Wetan_polygon_0
199,WADMKC_Cilawu_polygon_0
200,WADMKC_Cilebak_polygon_0
201,WADMKC_Cilebak_polygon_1
202,WADMKC_Cilebar_polygon_0
203,WADMKC_Ciledug_polygon_0
204,WADMKC_Cilengkrang_polygon_0
205,WADMKC_Cileungsi_polygon_0
206,WADMKC_Cileunyi_polygon_0
207,WADMKC_Cililin_polygon_0
208,WADMKC_Cilimus_polygon_0
209,WADMKC_Cilodong_polygon_0
210,WADMKC_Cimahi Selatan_polygon_0
211,WADMKC_Cimahi Tengah_polygon_0
212,WADMKC_Cimahi Utara_polygon_0
213,WADMKC_Cimahi_polygon_0
214,WADMKC_Cimalaka_polygon_0
215,WADMKC_Cimanggis_polygon_0
216,WADMKC_Cimanggu_polygon_0
217,WADMKC_Cimanggung_polygon_0
218,WADMKC_Cimaragas_polygon_0
219,WADMKC_Cimaung_polygon_0
220,WADMKC_Cimenyan_polygon_0
221,WADMKC_Cimerak_polygon_0
222,WADMKC_Cimerak_polygon_1
223,WADMKC_Cimerak_polygon_2
224,WADMKC_Cimerak_polygon_3
225,WADMKC_Cimerak_polygon_4
226,WADMKC_Cimerak_polygon_5
227,WADMKC_Cinambo_polygon_0
228,WADMKC_Cineam_polygon_0
229,WADMKC_Cinere_polygon_0
230,WADMKC_Cingambul_polygon_0
231,WADMKC_Ciniru_polygon_0
232,WADMKC_Ciomas_polygon_0
233,WADMKC_Cipaku_polygon_0
234,WADMKC_Cipanas_polygon_0
235,WADMKC_Ciparay_polygon_0
236,WADMKC_Cipatat_polygon_0
237,WADMKC_Cipatujah_polygon_0
238,WADMKC_Cipayung_polygon_0
239,WADMKC_Cipedes_polygon_0
240,WADMKC_Cipeundeuy_polygon_0
241,WADMKC_Cipeundeuy_polygon_1
242,WADMKC_Cipicung_polygon_0
243,WADMKC_Cipongkor_polygon_0
244,WADMKC_Cipunagara_polygon_0
245,WADMKC_Ciracap_polygon_0
246,WADMKC_Ciracap_polygon_1
247,WADMKC_Ciracap_polygon_2
248,WADMKC_Ciracap_polygon_3
249,WADMKC_Ciranjang_polygon_0
250,WADMKC_Cireunghas_polygon_0
251,WADMKC_Cisaat_polygon_0
252,WADMKC_Cisaga_polygon_0
253,WADMKC_Cisalak_polygon_0
254,WADMKC_Cisarua_polygon_0
255,WADMKC_Cisarua_polygon_1
256,WADMKC_Cisarua_polygon_2
257,WADMKC_Cisayong_polygon_0
258,WADMKC_Ciseeng_polygon_0
259,WADMKC_Cisewu_polygon_0
260,WADMKC_Cisitu_polygon_0
261,WADMKC_Cisolok_polygon_0
262,WADMKC_Cisolok_polygon_1
263,WADMKC_Cisompet_polygon_0
264,WADMKC_Cisurupan_polygon_0
265,WADMKC_Citamiang_polygon_0
266,WADMKC_Citeureup_polygon_0
267,WADMKC_Ciwaringin_polygon_0
268,WADMKC_Ciwaru_polygon_0
269,WADMKC_Ciwaru_polygon_1
270,WADMKC_Ciwidey_polygon_0
271,WADMKC_Coblong_polygon_0
272,WADMKC_Compreng_polygon_0
273,WADMKC_Conggeang_polygon_0
274,WADMKC_Cugenang_polygon_0
275,WADMKC_Culamega_polygon_0
276,WADMKC_Curugkembar_polygon_0
277,WADMKC_Darangdan_polygon_0
278,WADMKC_Darma_polygon_0
279,WADMKC_Darmaraja_polygon_0
280,WADMKC_Dawuan_polygon_0
281,WADMKC_Dawuan_polygon_1
282,WADMKC_Dayeuhkolot_polygon_0
283,WADMKC_Depok_polygon_0
284,WADMKC_Dramaga_polygon_0
285,WADMKC_Dukupuntang_polygon_0
286,WADMKC_Gabuswetan_polygon_0
287,WADMKC_Ganeas_polygon_0
288,WADMKC_Gantar_polygon_0
289,WADMKC_Garawangi_polygon_0
290,WADMKC_Garut Kota_polygon_0
291,WADMKC_Gebang_polygon_0
292,WADMKC_Gedebage_polygon_0
293,WADMKC_Gegerbitung_polygon_0
294,WADMKC_Gegesik_polygon_0
295,WADMKC_Gekbrong_polygon_0
296,WADMKC_Gempol_polygon_0
297,WADMKC_Greged_polygon_0
298,WADMKC_Gunung Jati_polygon_0
299,WADMKC_Gunung Putri_polygon_0
300,WADMKC_Gunung Puyuh_polygon_0
301,WADMKC_Gunung Sindur_polygon_0
302,WADMKC_Gunungguruh_polygon_0
303,WADMKC_Gununghalu_polygon_0
304,WADMKC_Gunungtanjung_polygon_0
305,WADMKC_Hantara_polygon_0
306,WADMKC_Harjamukti_polygon_0
307,WADMKC_Haurgeulis_polygon_0
308,WADMKC_Haurwangi_polygon_0
309,WADMKC_Ibun_polygon_0
310,WADMKC_Indihiang_polygon_0
311,WADMKC_Indramayu_polygon_0
312,WADMKC_Jalaksana_polygon_0
313,WADMKC_Jalancagak_polygon_0
314,WADMKC_Jamanis_polygon_0
315,WADMKC_Jamblang_polygon_0
316,WADMKC_Jampangkulon_polygon_0
317,WADMKC_Jampangtengah_polygon_0
318,WADMKC_Japara_polygon_0
319,WADMKC_Jasinga_polygon_0
320,WADMKC_Jatiasih_polygon_0
321,WADMKC_Jatibarang_polygon_0
322,WADMKC_Jatigede_polygon_0
323,WADMKC_Jatiluhur_polygon_0
324,WADMKC_Jatinagara_polygon_0
325,WADMKC_Jatinangor_polygon_0
326,WADMKC_Jatinunggal_polygon_0
327,WADMKC_Jatisampurna_polygon_0
328,WADMKC_Jatisari_polygon_0
329,WADMKC_Jatitujuh_polygon_0
330,WADMKC_Jatiwangi_polygon_0
331,WADMKC_Jatiwaras_polygon_0
332,WADMKC_Jayakerta_polygon_0
333,WADMKC_Jonggol_polygon_0
334,WADMKC_Juntinyuat_polygon_0
335,WADMKC_Kabandungan_polygon_0
336,WADMKC_Kadipaten_polygon_0
337,WADMKC_Kadipaten_polygon_1
338,WADMKC_Kadudampit_polygon_0
339,WADMKC_Kadugede_polygon_0
340,WADMKC_Kadungora_polygon_0
341,WADMKC_Kadupandak_polygon_0
342,WADMKC_Kalapanunggal_polygon_0
343,WADMKC_Kalibunder_polygon_0
344,WADMKC_Kalijati_polygon_0
345,WADMKC_Kalimanggis_polygon_0
346,WADMKC_Kalipucang_polygon_0
347,WADMKC_Kaliwedi_polygon_0
348,WADMKC_Kandanghaur_polygon_0
349,WADMKC_Kapetakan_polygon_0
350,WADMKC_Karang Bahagia_polygon_0
351,WADMKC_Karang Kancana_polygon_0
352,WADMKC_Karangampel_polygon_0
353,WADMKC_Karangjaya_polygon_0
354,WADMKC_Karangnunggal_polygon_0
355,WADMKC_Karangpawitan_polygon_0
356,WADMKC_Karangsembung_polygon_0
357,WADMKC_Karangsembung_polygon_1
358,WADMKC_Karangtengah_polygon_0
359,WADMKC_Karangtengah_polygon_1
360,WADMKC_Karangwareng_polygon_0
361,WADMKC_Karawang Barat_polygon_0
362,WADMKC_Karawang Timur_polygon_0
363,WADMKC_Kasokandel_polygon_0
364,WADMKC_Kasomalang_polygon_0
365,WADMKC_Katapang_polygon_0
366,WADMKC_Kawali_polygon_0
367,WADMKC_Kawalu_polygon_0
368,WADMKC_Kebonpedes_polygon_0
369,WADMKC_Kedawung_polygon_0
370,WADMKC_Kedokan Bunder_polygon_0
371,WADMKC_Kedung Waringin_polygon_0
372,WADMKC_Kejaksan_polygon_0
373,WADMKC_Kemang_polygon_0
374,WADMKC_Kersamanah_polygon_0
375,WADMKC_Kertajati_polygon_0
376,WADMKC_Kertasari_polygon_0
377,WADMKC_Kertasemaya_polygon_0
378,WADMKC_Kesambi_polygon_0
379,WADMKC_Kiaracondong_polygon_0
380,WADMKC_Kiarapedes_polygon_0
381,WADMKC_Klangenan_polygon_0
382,WADMKC_Klapanunggal_polygon_0
383,WADMKC_Klari_polygon_0
384,WADMKC_Kota Baru_polygon_0
385,WADMKC_Kramatmulya_polygon_0
386,WADMKC_Krangkeng_polygon_0
387,WADMKC_Kroya_polygon_0
388,WADMKC_Kuningan_polygon_0
389,WADMKC_Kutawaluya_polygon_0
390,WADMKC_Kutawaringin_polygon_0
391,WADMKC_Lakbok_polygon_0
